id,price,number_of_reviews,availability_365,room_type,neighbourhood,neighbourhood_group,accommodates,bedrooms,bathrooms,host_is_superhost,reviews_per_month,last_review,first_review,calculated_host_listings_count,latitude,longitude,minimum_nights,host_name,host_since,number_of_reviews_ltm,instant_bookable,host_response_rate,host_acceptance_rate,host_response_time
41728448,151.0,56,162,Entire home/apt,Campo de Ourique,Lisboa,4,1.0,1.0,True,1.0,2024-09-10,2020-02-11,2,38.71945,-9.16502,3,Carla E Ricardo,2018-08-11,13,True,1.0,1.0,within an hour
41733080,102.0,58,289,Entire home/apt,Santo Antnio,Lisboa,2,1.0,1.0,False,1.05,2024-02-29,2020-02-29,1,38.71667,-9.15036,1,Lizzy,2020-01-10,7,True,1.0,1.0,within an hour
41736352,255.0,9,192,Entire home/apt,Peral,Cadaval,10,5.0,2.0,False,0.23,2023-10-08,2021-07-24,1,39.259148,-9.046073,2,Laurence,2016-07-31,1,False,1.0,1.0,within a few hours
41740386,90.0,45,312,Entire home/apt,Ericeira,Mafra,5,2.0,1.0,True,0.91,2024-08-18,2020-08-26,1,38.96208,-9.41608,3,Maria,2020-01-21,18,False,0.9,0.97,within an hour
41743059,400.0,69,256,Entire home/apt,Ribamar,Lourinh,10,5.0,4.0,False,1.25,2024-08-26,2020-02-27,1,39.212871896574214,-9.343063923721724,4,Selim,2020-01-16,15,True,1.0,1.0,within an hour
41756824,203.0,143,345,Entire home/apt,Santa Maria Maior,Lisboa,2,1.0,1.0,False,2.56,2024-08-11,2020-02-17,1,38.71293,-9.14207,3,Suelen,2020-01-22,35,True,1.0,1.0,within an hour
41758711,161.0,10,341,Entire home/apt,Estrela,Lisboa,4,2.0,2.0,False,0.2,2024-06-19,2020-08-31,5,38.70623,-9.15813,4,Juan,2019-07-17,1,True,0.97,1.0,within an hour
41760205,187.0,159,314,Entire home/apt,Misericrdia,Lisboa,4,2.0,2.0,False,2.86,2024-09-09,2020-02-24,1,38.712,-9.1443,2,Eli,2019-12-10,60,False,1.0,0.95,within an hour
41762199,172.0,27,319,Entire home/apt,Estrela,Lisboa,4,2.0,2.0,False,0.49,2024-07-07,2020-03-01,5,38.70805,-9.15805,4,Juan,2019-07-17,11,True,0.97,1.0,within an hour
41767369,450.0,9,286,Entire home/apt,So Vicente,Lisboa,12,3.0,2.0,False,0.34,2024-07-03,2022-07-07,9,38.71793,-9.13295,2,Rute E Mario,2017-01-17,3,True,1.0,1.0,within an hour
41790102,110.0,162,329,Entire home/apt,So Vicente,Lisboa,2,2.0,1.0,True,2.89,2024-09-02,2020-02-08,104,38.71384,-9.1255,2,Alexandra Pedro And Team,2013-03-30,41,False,1.0,0.99,within an hour
41791136,50.0,5,314,Private room,Vila Verde dos Francos,Alenquer,2,1.0,1.0,False,0.1,2023-07-25,2020-06-28,7,39.16018,-9.11294,1,Dominique,2017-05-18,0,True,1.0,0.96,within an hour
41791737,420.0,165,3,Entire home/apt,Santa Maria Maior,Lisboa,6,3.0,3.0,False,2.94,2024-07-13,2020-02-04,1,38.71077,-9.13743,2,Alexander,2014-06-07,21,True,1.0,1.0,within a day
41796595,140.0,134,276,Entire home/apt,So Vicente,Lisboa,4,2.0,1.0,True,2.4,2024-08-26,2020-02-11,9,38.71735,-9.12913,4,Andreia,2013-09-15,35,False,1.0,1.0,within an hour
41796731,141.0,19,334,Entire home/apt,So Domingos de Benfica,Lisboa,4,2.0,1.0,True,0.36,2024-08-26,2020-04-30,2,38.7523704827574,-9.179237454394874,7,Sofia,2014-06-07,10,False,1.0,0.89,within an hour
41830365,103.0,147,241,Entire home/apt,Cascais e Estoril,Cascais,2,0.0,1.0,True,2.78,2024-09-08,2020-05-10,1,38.70638,-9.43038,1,Maria Francisca,2020-01-25,44,True,1.0,1.0,within an hour
41844622,145.0,64,268,Entire home/apt,Misericrdia,Lisboa,4,2.0,2.5,True,3.62,2024-09-11,2023-04-03,1,38.70904,-9.14841,3,Isabel,2014-01-28,44,True,1.0,1.0,within an hour
42190559,87.0,35,265,Entire home/apt,Alcntara,Lisboa,2,0.0,1.0,False,0.73,2024-07-14,2020-10-02,2,38.70731,-9.17538,1,Siamak,2020-02-07,9,True,1.0,1.0,within an hour
42204223,350.0,153,257,Entire home/apt,Santo Antnio,Lisboa,4,2.0,2.0,True,2.78,2024-08-29,2020-03-11,2,38.72273,-9.14445,3,Sofia,2017-03-15,49,False,1.0,0.98,within a few hours
42214658,89.0,9,333,Entire home/apt,Cascais e Estoril,Cascais,3,1.0,1.0,False,2.81,2024-09-11,2024-06-11,1,38.69934,-9.38213,3,Marcia,2013-03-31,9,True,1.0,1.0,within an hour
42227617,400.0,0,341,Entire home/apt,Alcntara,Lisboa,8,4.0,3.0,False,0.0,0,0,5,38.70602,-9.17609,3,Olena,2018-04-18,0,False,1.0,0.46,within an hour
42238805,117.0,32,101,Entire home/apt,Santa Maria Maior,Lisboa,2,1.0,1.0,False,0.57,2024-09-07,2020-02-17,16,38.71349,-9.13558,2,Fernando,2017-02-09,5,True,0.97,0.98,within an hour
42242653,164.0,1,166,Entire home/apt,Arroios,Lisboa,4,2.0,2.0,False,0.03,2021-08-27,2021-08-27,1,38.7266,-9.13115,2,Paulo Jorge,2020-02-12,0,False,1.0,1.0,within an hour
42242929,70.0,31,352,Entire home/apt,So Pedro da Cadeira,Torres Vedras,4,2.0,1.0,False,0.56,2024-09-04,2020-02-25,1,39.07881,-9.41174,3,Eliana,2020-02-12,5,False,1.0,1.0,within an hour
42243564,240.0,105,326,Entire home/apt,Misericrdia,Lisboa,5,2.0,2.0,True,1.91,2024-08-28,2020-03-10,45,38.70863,-9.15002,2,Libest,2016-01-26,24,True,1.0,1.0,within an hour
42243660,300.0,196,246,Entire home/apt,Santa Maria Maior,Lisboa,7,3.0,2.0,True,3.89,2024-09-08,2020-07-26,8,38.71303,-9.13485,3,Carolina,2017-09-25,63,True,1.0,1.0,within an hour
42251493,137.0,127,152,Entire home/apt,Misericrdia,Lisboa,4,2.0,1.0,True,3.37,2024-08-28,2021-08-12,3,38.710364,-9.14914,2,António,2014-12-02,44,True,1.0,0.99,within an hour
42263657,55.0,50,355,Entire home/apt,Silveira,Torres Vedras,4,1.0,1.0,False,1.0,2024-08-23,2020-08-09,4,39.13427,-9.37972,2,José,2016-06-30,16,True,1.0,0.99,within an hour
42264076,245.0,111,292,Entire home/apt,Santo Antnio,Lisboa,4,2.0,2.0,True,2.01,2024-08-09,2020-03-03,45,38.7225,-9.14907,2,Libest,2016-01-26,19,True,1.0,1.0,within an hour
42265736,80.0,30,229,Entire home/apt,Carvoeira,Mafra,6,3.0,1.0,False,0.62,2024-06-19,2020-09-20,1,38.95172,-9.40645,3,Denis,2014-03-09,10,False,1.0,0.89,within a day
42288290,90.0,82,350,Entire home/apt,Estrela,Lisboa,2,1.0,1.0,False,2.0,2024-08-31,2021-05-07,3,38.70831,-9.15635,3,Ana,2020-02-14,27,False,1.0,1.0,within an hour
42288516,132.0,59,344,Entire home/apt,Misericrdia,Lisboa,4,1.0,1.0,False,1.2,2024-09-05,2020-09-02,120,38.70695,-9.14571,2,Altido,2012-02-15,27,True,0.98,0.99,within an hour
42288551,90.0,2,363,Entire home/apt,Lourinh e Atalaia,Lourinh,8,3.0,2.0,False,0.09,2023-09-02,2022-11-06,38,39.2614091,-9.3210852,1,Daniel,2012-01-27,0,True,0.9,1.0,within an hour
42290410,83.0,151,137,Entire home/apt,Campo de Ourique,Lisboa,2,1.0,1.0,True,2.97,2024-08-28,2020-07-13,11,38.71491,-9.15518,3,Íris,2018-11-15,39,True,1.0,0.99,within an hour
